Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,91.91,95.14,93.83,89.77,93.75,89.06,86.2,86.29,95.67,94.57
2,47.83,52.92,60.17,41.85,46.92,40.1,44.38,40.1,54.13,43.38
3,47.04,55.96,50.61,53.35,40.56,39.62,39.78,40.68,51.13,53.3
4,21.83,42.27,40.06,21.01,22.03,19.34,19.31,26.38,42.19,42.94
