Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,8.02,6.97,7.04,7.62,7.67,7.14,6.26,5.57,7.04,5.78
20,14.03,13.18,12.42,13.62,13.19,13.55,12.81,13.68,12.66,12.47
30,33.84,31.98,31.19,32.91,33.13,31.13,30.34,29.19,31.48,29.35
