epoch,loss,step,val_loss
0,0.1551973968744278,9,
0,0.08450619131326675,19,
0,0.05195097252726555,29,
0,,30,0.06750697642564774
1,0.027841459959745407,39,
1,0.01881185732781887,49,
1,0.014585021883249283,59,
1,,61,0.011642242781817913
2,0.011709053069353104,69,
2,0.0092612998560071,79,
2,0.00833776593208313,89,
2,,92,0.004359817132353783
3,0.007997952401638031,99,
3,0.006897347513586283,109,
3,0.006123930681496859,119,
3,,123,0.00307845207862556
4,0.006215795408934355,129,
4,0.005184113048017025,139,
4,0.004778354894369841,149,
4,,154,0.002569799544289708
5,0.004929785151034594,159,
5,0.0043925330974161625,169,
5,0.004079006612300873,179,
5,,185,0.002807851415127516
6,0.004273989703506231,189,
6,0.0039210268296301365,199,
6,0.003774636657908559,209,
6,,216,0.0030985467601567507
7,0.005033859051764011,219,
7,0.0034930286929011345,229,
7,0.003449413925409317,239,
7,,247,0.0024247237015515566
8,0.003515319898724556,249,
8,0.003165362635627389,259,
8,0.0028942879289388657,269,
8,,278,0.0032539621461182833
9,0.0045641264878213406,279,
9,0.002700312063097954,289,
9,0.0026446213014423847,299,
9,0.005470450036227703,309,
9,,309,0.002674201037734747
10,0.0029256378766149282,319,
10,0.0023176115937530994,329,
10,0.002969650784507394,339,
10,,340,0.002749664941802621
11,0.002695805160328746,349,
11,0.002689951565116644,359,
11,0.0037181128282099962,369,
11,,371,0.003143696580082178
12,0.0022566926199942827,379,
12,0.0021954444237053394,389,
12,0.002203637734055519,399,
12,,402,0.002833816921338439
13,0.0023796455934643745,409,
13,0.002394965849816799,419,
13,0.001932088052853942,429,
13,,433,0.002863246249035001
14,0.0029298667795956135,439,
14,0.0020483662374317646,449,
14,0.0018301967065781355,459,
14,,464,0.0025706617161631584
15,0.0021397052332758904,469,
15,0.0017898038495332003,479,
15,0.0018061933806166053,489,
15,,495,0.002969025168567896
16,0.002436829498037696,499,
16,0.0020923076663166285,509,
16,0.0018509018700569868,519,
16,,526,0.0026579617988318205
17,0.00262622837908566,529,
17,0.0016572035383433104,539,
17,0.001880963915027678,549,
17,,557,0.0022246120497584343
18,0.0018674201564863324,559,
18,0.0017043016850948334,569,
18,0.0016697761602699757,579,
18,,588,0.0027378874365240335
19,0.0031422183383256197,589,
19,0.0016917070606723428,599,
19,0.0016982252709567547,609,
19,0.0026766269002109766,619,
19,,619,0.00233342288993299
20,0.0020277753937989473,629,
20,0.0014705979265272617,639,
20,0.0019201036775484681,649,
20,,650,0.0027173184789717197
21,0.0019190935418009758,659,
21,0.001981226960197091,669,
21,0.002845342271029949,679,
21,,681,0.002168842824175954
22,0.0014006388373672962,689,
22,0.001302210264839232,699,
22,0.0015356623334810138,709,
22,,712,0.0025052130222320557
23,0.0017937294906005263,719,
23,0.002044668886810541,729,
23,0.0013630407629534602,739,
23,,743,0.0026713486295193434
24,0.0024345156271010637,749,
24,0.0015919156139716506,759,
24,0.0013622633414343,769,
24,,774,0.00237941718660295
25,0.0015615267911925912,779,
25,0.0012331365142017603,789,
25,0.0012747980654239655,799,
25,,805,0.0022100270725786686
26,0.0018640075577422976,809,
26,0.001660310779698193,819,
26,0.0014128303155303001,829,
26,,836,0.0026639706920832396
27,0.0023343428038060665,839,
27,0.0012645444367080927,849,
27,0.001653764396905899,859,
27,,867,0.002234780928120017
28,0.0015028603374958038,869,
28,0.0013032513670623302,879,
28,0.0013828979572281241,889,
28,,898,0.0022847934160381556
29,0.0026375537272542715,899,
29,0.0013696777168661356,909,
29,0.0013401686446741223,919,
29,0.001727125491015613,929,
29,,929,0.0020355000160634518
30,0.0014984972076490521,939,
30,0.0011177059495821595,949,
30,0.0017421507509425282,959,
30,,960,0.0020544715225696564
31,0.0015403986908495426,969,
31,0.0017543262802064419,979,
31,0.0027365931309759617,989,
31,,991,0.001897169859148562
32,0.0011788755655288696,999,
32,0.0010104588000103831,1009,
32,0.001273453701287508,1019,
32,,1022,0.002018402563408017
33,0.00158102554269135,1029,
33,0.00184654223266989,1039,
33,0.0011208089999854565,1049,
33,,1053,0.002329980256035924
34,0.0017933237832039595,1059,
34,0.0012300621019676328,1069,
34,0.001085229916498065,1079,
34,,1084,0.002558595035225153
35,0.0013540830696001649,1089,
35,0.0011294652940705419,1099,
35,0.0011382002849131823,1109,
35,,1115,0.0023955500219017267
36,0.0017307967646047473,1119,
36,0.0015559811145067215,1129,
36,0.0012705149129033089,1139,
36,,1146,0.0018769076559692621
37,0.002093822928145528,1149,
37,0.0010802471078932285,1159,
37,0.0015195868909358978,1169,
37,,1177,0.0020301348995417356
38,0.0012616300955414772,1179,
38,0.0011181806912645698,1189,
38,0.0012467970373108983,1199,
38,,1208,0.0016804642509669065
39,0.0020032410975545645,1209,
39,0.0011392815504223108,1219,
39,0.0010803011246025562,1229,
39,0.0014800665667280555,1239,
39,,1239,0.001895666355267167
40,0.0012040988076478243,1249,
40,0.0009229693096131086,1259,
40,0.0016646054573357105,1269,
40,,1270,0.001725922804325819
41,0.0014388401759788394,1279,
41,0.0018130814423784614,1289,
41,0.0027578130830079317,1299,
41,,1301,0.0015519269509240985
42,0.0010835336288437247,1309,
42,0.0008552637882530689,1319,
42,0.0012063755420967937,1329,
42,,1332,0.001570059102959931
43,0.0013368085492402315,1339,
43,0.0016185776330530643,1349,
43,0.0009395972592756152,1359,
43,,1363,0.001363392686471343
44,0.0012926504714414477,1369,
44,0.0009495762060396373,1379,
44,0.0008457297226414084,1389,
44,,1394,0.0014806005638092756
45,0.0009519028826616704,1399,
45,0.0009076110436581075,1409,
45,0.000952289323322475,1419,
45,,1425,0.0017522895941510797
46,0.0019135528709739447,1429,
46,0.0016524470411241055,1439,
46,0.0012306531425565481,1449,
46,,1456,0.0012673406163230538
47,0.0018515436677262187,1459,
47,0.0009756131330505013,1469,
47,0.0014100614935159683,1479,
47,,1487,0.0012326971627771854
48,0.0010004200739786029,1489,
48,0.0009740190580487251,1499,
48,0.0009860831778496504,1509,
48,,1518,0.0011618605349212885
49,0.0015532243996858597,1519,
49,0.0009457575506530702,1529,
49,0.000868044386152178,1539,
49,0.001489176764152944,1549,
49,,1549,0.001132047502323985
50,0.0011199712753295898,1559,
50,0.000872233125846833,1569,
50,0.0016249370528385043,1579,
50,,1580,0.001084647374227643
51,0.0013008805690333247,1589,
51,0.001676479005254805,1599,
51,0.002416199306026101,1609,
51,,1611,0.0010270796483382583
52,0.0009340542601421475,1619,
52,0.0007519149803556502,1629,
52,0.0010378786828368902,1639,
52,,1642,0.0009561723563820124
53,0.001037326524965465,1649,
53,0.0012912435922771692,1659,
53,0.0008099768892861903,1669,
53,,1673,0.0010766576742753386
54,0.0012906769989058375,1679,
54,0.0009005109313875437,1689,
54,0.0007389975362457335,1699,
54,,1704,0.001034932560287416
55,0.000850670097861439,1709,
55,0.0007383495685644448,1719,
55,0.0008333116420544684,1729,
55,,1735,0.0009966096840798855
56,0.0016413334524258971,1739,
56,0.001405455288477242,1749,
56,0.0011000565718859434,1759,
56,,1766,0.0009834548691287637
57,0.0015734898624941707,1769,
57,0.0008323384681716561,1779,
57,0.0012254375033080578,1789,
57,,1797,0.0009674959001131356
58,0.0008489761385135353,1799,
58,0.0008742227219045162,1809,
58,0.0008379305945709348,1819,
58,,1828,0.0010877518216148019
59,0.0015151586849242449,1829,
59,0.0008433571783825755,1839,
59,0.0007944370736368,1849,
