Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,88.64,88.97,89.29,88.79,88.92,89.71,89.79,89.97,89.72,90.9
20,55.88,55.18,69.09,56.93,66.72,63.07,62.87,62.13,71.12,75.84
30,38.75,61.21,58.63,45.04,38.16,41.96,42.01,42.51,61.06,58.27
