Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,5.65,4.58,4.76,4.99,5.34,4.48,4.69,4.66,5.26,4.14
20,16.23,14.06,15.04,17.06,16.46,16.65,17.32,15.45,13.21,14.31
30,31.73,29.13,29.02,31.67,30.2,28.87,28.68,27.11,28.58,26.78
