epoch,loss,step,val_loss
0,0.1339588463306427,9,
0,0.06118636578321457,19,
0,0.03446768596768379,29,
0,,30,0.03519107401371002
1,0.0253523550927639,39,
1,0.017470888793468475,49,
1,0.014741865918040276,59,
1,,61,0.015822838991880417
2,0.011964533478021622,69,
2,0.010375699028372765,79,
2,0.009161216206848621,89,
2,,92,0.010211666114628315
3,0.008251789025962353,99,
3,0.007830698974430561,109,
3,0.006854380015283823,119,
3,,123,0.007279582787305117
4,0.006452727131545544,129,
4,0.0059734610840678215,139,
4,0.005219960585236549,149,
4,,154,0.0056931255385279655
5,0.006142896134406328,159,
5,0.0049984632059931755,169,
5,0.0043244254775345325,179,
5,,185,0.004774937871843576
6,0.004271284211426973,189,
6,0.004672729875892401,199,
6,0.0037186758127063513,209,
6,,216,0.004122870974242687
7,0.0039865924045443535,219,
7,0.004537655971944332,229,
7,0.00326107838191092,239,
7,,247,0.0035891281440854073
8,0.004007964860647917,249,
8,0.0031083247158676386,259,
8,0.003280690871179104,269,
8,,278,0.0031402709428220987
9,0.002831399207934737,279,
9,0.0029412454459816217,289,
9,0.0026492979377508163,299,
9,0.0026516090147197247,309,
9,,309,0.0027951495721936226
10,0.002861345885321498,319,
10,0.002264965558424592,329,
10,0.00265530776232481,339,
10,,340,0.0025426531210541725
11,0.0038986201398074627,349,
11,0.0022096179891377687,359,
11,0.0025574734900146723,369,
11,,371,0.0023673768155276775
12,0.002058792859315872,379,
12,0.002084355568513274,389,
12,0.0020541667472571135,399,
12,,402,0.002266396302729845
13,0.002022154862061143,409,
13,0.002416470553725958,419,
13,0.0019420081516727805,429,
13,,433,0.002219877205789089
14,0.002093755640089512,439,
14,0.0020933737978339195,449,
14,0.001622329349629581,459,
14,,464,0.0022137719206511974
15,0.002524751238524914,469,
15,0.0020702958572655916,479,
15,0.0015052162343636155,489,
15,,495,0.002228659112006426
16,0.0016038792673498392,499,
16,0.0021231595892459154,509,
16,0.0014801238430663943,519,
16,,526,0.0022235452197492123
17,0.0017721188487485051,529,
17,0.00262922840192914,539,
17,0.0014560067793354392,549,
17,,557,0.002145579783245921
18,0.002408218802884221,559,
18,0.0016852550907060504,569,
18,0.001853293040767312,579,
18,,588,0.0019939288031309843
19,0.0014947580639272928,589,
19,0.0016144327819347382,599,
19,0.0013337885029613972,609,
19,0.0015828075120225549,619,
19,,619,0.0018011585343629122
20,0.0015366453444585204,629,
20,0.0011537298560142517,639,
20,0.001551659544929862,649,
20,,650,0.0016404741909354925
21,0.0028227753937244415,659,
21,0.0013661333359777927,669,
21,0.0017660913290455937,679,
21,,681,0.0015374843496829271
22,0.0012979598250240088,689,
22,0.0011913601774722338,699,
22,0.0013710034545511007,709,
22,,712,0.0014819831121712923
23,0.001287595252506435,719,
23,0.0016312325606122613,729,
23,0.0012278049252927303,739,
23,,743,0.0014256074791774154
24,0.0012364978902041912,749,
24,0.001328198122791946,759,
24,0.0009092680411413312,769,
24,,774,0.001339700655080378
25,0.0017925313441082835,779,
25,0.001313220476731658,789,
25,0.0009659822680987418,799,
25,,805,0.0012904094764962792
26,0.001106242067180574,809,
26,0.0016342345625162125,819,
26,0.001022260868921876,829,
26,,836,0.0012681412044912577
27,0.001160640618763864,839,
27,0.0020284082274883986,849,
27,0.0009418795234523714,859,
27,,867,0.0012431977083906531
28,0.001632249797694385,869,
28,0.0010703362058848143,879,
28,0.0013332061935216188,889,
28,,898,0.0012176326708868146
29,0.000912990712095052,899,
29,0.0011208085343241692,909,
29,0.0009533189004287124,919,
29,0.001192046795040369,929,
29,,929,0.001196682802401483
30,0.0011722068302333355,939,
30,0.0008218181901611388,949,
30,0.0011922896374017,959,
30,,960,0.0011744217481464148
31,0.0023974431678652763,969,
31,0.0009752855985425413,979,
31,0.0014300805050879717,989,
31,,991,0.0011564188171178102
32,0.0009044715552590787,999,
32,0.0008123823208734393,1009,
