Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,23.5,23.22,27.16,22.63,24.24,23.4,27.09,27.63,24.82,27.93
20,18.44,24.56,25.47,19.68,20.6,16.65,17.82,20.01,25.28,26.35
30,21.4,24.5,25.53,16.62,17.84,15.99,17.77,17.16,26.01,23.59
