Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,0.64,0.5,0.41,0.38,1.24,1.58,1.02,1.02,1.1,0.5
2,2.84,2.86,1.37,1.37,5.63,7.69,3.75,9.97,9.16,2.72
3,4.43,4.67,2.23,2.04,9.71,8.77,3.44,11.46,10.51,2.25
4,5.74,5.83,2.36,2.82,4.02,4.34,8.65,5.46,5.63,4.43
