Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,0.93,0.9,0.45,0.6,1.24,1.57,1.04,1.21,1.14,1.16
20,2.86,2.58,1.05,1.44,1.19,1.78,2.61,1.56,1.69,2.14
30,3.0,2.9,1.98,1.37,1.16,1.66,3.54,1.74,1.96,2.31
