Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,5.43,3.79,5.34,3.03,2.61,2.68,4.53,3.01,3.24,4.07
2,5.13,6.91,10.81,8.69,5.02,3.54,7.36,2.74,4.96,9.67
3,5.47,4.19,10.76,8.43,4.66,4.98,11.61,7.9,5.04,6.78
4,4.67,4.99,4.04,3.24,2.14,1.88,6.05,2.53,2.33,3.28
