Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,2.8,2.98,1.23,1.34,1.91,1.83,3.28,2.37,2.25,2.69
20,3.14,3.19,1.38,1.46,1.73,1.82,3.72,2.07,1.94,2.59
30,3.41,3.71,1.82,1.78,1.79,1.65,4.7,2.33,1.99,3.1
