Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,3.79,3.84,4.67,3.38,2.12,2.64,5.08,3.21,2.93,3.31
2,4.39,4.05,6.51,5.96,3.04,3.71,6.22,2.92,3.26,3.98
3,6.23,5.52,6.46,4.8,2.64,2.58,6.01,3.39,2.73,7.1
4,7.17,6.01,9.7,9.86,4.13,4.21,11.05,4.85,4.59,6.67
