Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,1.72,1.81,0.95,0.96,1.45,1.52,2.06,1.49,1.41,1.53
20,2.61,2.7,1.42,1.46,1.57,1.65,3.37,1.89,1.78,2.5
30,3.43,3.59,1.89,1.84,1.78,1.88,4.64,2.23,2.14,3.27
