Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,5.66,4.63,4.76,5.35,4.86,4.37,4.35,4.25,4.46,3.9
20,18.93,16.83,16.98,17.57,17.8,15.79,16.52,15.55,16.04,14.89
30,29.33,26.68,26.27,27.62,27.93,26.56,25.88,25.71,26.56,24.43
