Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,1.31,0.83,0.86,1.41,1.54,1.73,1.41,1.42,0.75,1.1
2,4.01,2.52,3.12,4.33,5.34,4.91,5.87,6.03,2.18,3.29
3,8.74,5.34,4.49,8.63,7.78,8.96,7.9,8.72,4.39,4.92
4,13.92,13.32,11.18,19.55,16.56,22.12,18.51,23.0,11.4,14.94
