Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,8.23,7.28,7.0,7.55,7.1,6.87,6.76,7.0,6.83,5.98
20,28.21,26.06,25.67,27.52,25.78,24.91,24.54,24.7,25.88,24.03
30,49.79,44.95,45.18,46.35,47.65,43.09,42.72,39.4,44.84,41.16
