Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,11.75,6.03,15.4,12.65,16.76,6.13,2.49,17.19,12.09,13.99
2,1.27,1.82,3.12,0.78,0.97,2.3,2.84,3.82,1.59,4.15
3,5.38,5.97,6.7,2.93,4.67,5.82,9.14,4.99,4.48,20.94
4,1.0,0.81,1.93,3.16,0.96,1.94,2.96,4.35,1.89,2.88
