Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,0.82,0.8,0.61,0.62,1.23,1.61,1.04,1.04,1.01,0.63
2,10.17,9.9,4.51,4.3,5.8,9.03,15.16,13.62,12.02,10.64
3,4.06,4.28,1.91,2.41,5.51,4.78,5.78,6.14,6.99,3.78
4,9.43,9.23,5.16,3.14,11.47,10.99,8.81,10.6,8.6,4.59
