Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,0.99,1.02,0.55,0.82,1.15,1.57,1.15,1.03,1.12,1.06
20,3.16,2.38,2.97,1.65,1.2,1.59,3.88,1.52,1.68,1.68
30,3.06,3.39,2.32,2.11,1.09,1.82,5.87,1.67,2.04,2.76
