Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,10.54,4.92,5.14,6.89,7.81,7.24,7.77,9.91,4.33,3.29
20,139.66,62.63,66.03,90.93,104.05,86.03,98.48,138.54,54.24,48.82
30,901.91,438.82,419.7,702.25,581.89,633.2,562.48,871.61,368.52,295.66
