Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,11.45,10.47,10.21,11.88,11.48,11.99,11.22,11.6,10.21,9.82
20,21.21,19.97,18.59,20.22,19.29,19.33,17.67,19.19,19.03,18.13
30,28.98,26.1,25.62,27.12,26.38,26.9,24.72,26.26,25.66,24.32
