Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,89.53,89.6,89.67,89.64,89.43,89.32,89.57,88.72,89.64,89.85
20,68.85,75.16,75.05,73.77,71.28,72.44,72.65,75.27,74.83,78.43
30,49.84,61.9,59.19,51.54,44.27,43.1,44.32,45.73,65.63,60.06
