Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,9676.24,11706.25,17839.36,19868.49,16768.39,21109.8,16061.31,25308.65,2634.67,26433.37
2,51009.27,53579.73,17582.72,20151.75,31654.23,44723.44,12929.96,6698.19,11888.09,24696.77
3,36941.62,30578.34,38212.37,31748.99,61748.32,30223.68,27686.85,19590.67,39810.98,70822.55
4,76834.38,61040.46,33622.89,16692.01,49417.7,28701.9,45249.69,67802.49,71773.27,37611.07
