Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,4.66,4.66,1.72,1.72,4.43,4.98,4.89,5.13,5.14,4.1
20,134.04,134.03,48.56,48.56,86.68,85.04,141.98,114.96,114.97,123.9
30,547.6,547.61,198.07,198.12,509.27,428.32,494.16,553.07,553.08,432.32
