Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,1.17,0.83,0.72,1.23,1.3,1.51,1.3,1.25,0.74,0.82
2,9.48,5.26,7.21,9.92,9.9,10.51,20.91,23.34,4.41,14.25
3,10.56,6.98,7.79,13.58,15.86,16.71,16.31,16.49,6.54,9.67
4,14.3,7.8,8.7,13.76,14.54,18.52,19.24,23.13,7.08,13.89
