Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,3.32,4.23,3.47,3.88,2.37,2.38,5.03,2.2,19.48,3.71
2,5.93,7.71,15.07,10.61,8.26,10.66,7.39,2.37,2.3,4.66
3,9.68,10.87,6.3,6.54,3.79,3.98,6.35,3.28,6.24,10.44
4,6.08,7.12,7.81,8.42,4.38,4.11,7.5,5.64,5.03,5.88
