Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,7.54,3.43,3.46,5.47,5.98,5.67,6.03,7.07,2.77,2.52
20,200.66,94.02,90.56,140.17,128.24,138.78,137.83,193.89,76.22,68.06
30,777.92,372.11,337.06,739.36,556.06,662.86,564.29,658.9,278.97,223.47
