Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,12.06,11.36,11.24,11.82,11.76,11.4,11.44,11.42,11.16,10.63
20,14.86,12.73,12.73,14.59,14.48,14.09,13.71,13.94,12.57,12.03
30,21.85,19.84,19.94,20.3,20.16,20.24,19.52,20.6,19.77,19.14
