Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,0.54,0.63,0.4,0.43,1.3,1.45,0.68,1.02,0.98,0.42
2,7.25,7.15,3.07,3.32,5.31,7.8,9.29,8.76,7.74,6.34
3,4.39,4.21,2.05,1.88,4.23,4.22,4.4,4.88,5.13,2.92
4,4.74,4.59,2.54,2.22,3.19,3.26,6.21,3.75,3.34,3.71
