Parts occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
1,95.85,95.52,95.3,94.36,90.01,86.16,91.58,87.42,95.88,94.08
2,40.6,60.06,58.03,40.35,37.08,34.09,35.32,35.93,62.84,46.9
3,29.63,44.01,50.53,23.43,29.16,18.08,25.67,18.14,53.41,33.76
4,21.01,32.98,33.47,13.25,9.03,14.94,7.34,9.76,39.23,21.08
