epoch,loss,step,val_loss
0,0.09125881642103195,9,
0,0.05354423075914383,19,
0,0.027018005028367043,29,
0,,30,0.05664702504873276
1,0.01813652366399765,39,
1,0.009971396997570992,49,
1,0.006397978402674198,59,
1,,61,0.019073717296123505
2,0.011910410597920418,69,
2,0.007302616722881794,79,
2,0.005175191909074783,89,
2,,92,0.020148346200585365
3,0.00683300755918026,99,
3,0.007101575843989849,109,
3,0.006901582237333059,119,
3,,123,0.016344880685210228
4,0.006019289139658213,129,
4,0.004315256606787443,139,
4,0.0055992379784584045,149,
4,,154,0.012161972932517529
5,0.0035545802675187588,159,
5,0.003079341258853674,169,
5,0.002535471459850669,179,
5,,185,0.013347492553293705
6,0.00408626114949584,189,
6,0.0034456083085387945,199,
6,0.0019874637946486473,209,
6,,216,0.010582203976809978
7,0.003369787707924843,219,
7,0.002355788368731737,229,
7,0.002087412402033806,239,
7,,247,0.009983870200812817
8,0.002315269550308585,249,
8,0.0030245075467973948,259,
8,0.0016507633263245225,269,
8,,278,0.010563960298895836
9,0.0021398761309683323,279,
9,0.003140938701108098,289,
9,0.0015188859542831779,299,
9,0.009252735413610935,309,
9,,309,0.008562926203012466
10,0.001535031828097999,319,
10,0.002323850989341736,329,
10,0.0013282650616019964,339,
10,,340,0.010135307908058167
11,0.001725170761346817,349,
11,0.002142259618267417,359,
11,0.0013103935634717345,369,
11,,371,0.007870996370911598
12,0.0014238952426239848,379,
12,0.0019991095177829266,389,
12,0.001327904174104333,399,
12,,402,0.008144897408783436
13,0.001513907453045249,409,
13,0.0026955301873385906,419,
13,0.003650086699053645,429,
13,,433,0.007449847646057606
14,0.00132732221391052,439,
14,0.0011582783190533519,449,
14,0.0033953336533159018,459,
14,,464,0.007095062639564276
15,0.0010519116185605526,469,
15,0.0011370856082066894,479,
15,0.0012086573988199234,489,
15,,495,0.007314024958759546
16,0.002333291107788682,499,
16,0.0018744064727798104,509,
16,0.0010460792109370232,519,
16,,526,0.0065068150870501995
17,0.002293661469593644,529,
17,0.0014474361669272184,539,
17,0.0012524096528068185,549,
17,,557,0.007735840976238251
18,0.0014938462991267443,559,
18,0.002091500675305724,569,
18,0.0010185906430706382,579,
18,,588,0.006273212842643261
19,0.002024567686021328,589,
19,0.0025609699077904224,599,
19,0.0011246262583881617,609,
19,0.006308730226010084,619,
19,,619,0.007933116517961025
20,0.0012194811133667827,629,
20,0.002056238241493702,639,
20,0.0008262236951850355,649,
20,,650,0.006592327728867531
21,0.001205455744639039,659,
21,0.001621148781850934,669,
21,0.00099211186170578,679,
21,,681,0.006156862713396549
22,0.000954790273681283,689,
22,0.001425068243406713,699,
22,0.0009798515820875764,709,
22,,712,0.006391928065568209
23,0.001293263048864901,719,
23,0.0018869590712711215,729,
23,0.0031294890213757753,739,
23,,743,0.0051169609650969505
24,0.0012614765437319875,749,
24,0.0008844560943543911,759,
24,0.0026378249749541283,769,
24,,774,0.006314783822745085
25,0.00086238794028759,779,
25,0.0008657440776005387,789,
25,0.0009465874172747135,799,
25,,805,0.004658426623791456
26,0.002021091990172863,809,
26,0.0018819432007148862,819,
26,0.000791137688793242,829,
26,,836,0.006033220328390598
27,0.0016728221671655774,839,
27,0.0012110961833968759,849,
27,0.0011781491339206696,859,
27,,867,0.004734732210636139
28,0.0012937361607328057,869,
28,0.0019501170609146357,879,
28,0.000938678567763418,889,
28,,898,0.0053779869340360165
29,0.0009456273401156068,899,
29,0.0017195148393511772,909,
29,0.0007885628729127347,919,
29,0.003745097666978836,929,
29,,929,0.004830827470868826
30,0.0007688787882216275,939,
30,0.0017413415480405092,949,
30,0.0006058013532310724,959,
30,,960,0.005114210303872824
31,0.0007766407798044384,969,
31,0.0011864029802381992,979,
31,0.0007743180613033473,989,
31,,991,0.004868312273174524
32,0.0008644051267765462,999,
32,0.0010578719666227698,1009,
32,0.0008222258766181767,1019,
32,,1022,0.004967992659658194
33,0.001138427760452032,1029,
33,0.0013526403345167637,1039,
33,0.0025536520406603813,1049,
33,,1053,0.004594007506966591
34,0.000955424620769918,1059,
34,0.0007471901481039822,1069,
34,0.0020781049970537424,1079,
34,,1084,0.004501541145145893
35,0.0007301612058654428,1089,
35,0.0008127660839818418,1099,
35,0.0007791515090502799,1109,
35,,1115,0.004260342102497816
36,0.001702399691566825,1119,
36,0.0017083302373066545,1129,
36,0.000579844054300338,1139,
36,,1146,0.004352706018835306
37,0.0011222079629078507,1149,
37,0.0009366146405227482,1159,
37,0.0010972541058436036,1169,
37,,1177,0.004174469038844109
38,0.0006968959933146834,1179,
38,0.0014780752826482058,1189,
38,0.0008978065452538431,1199,
38,,1208,0.004235127009451389
39,0.0005603802273981273,1209,
39,0.0013077949406579137,1219,
39,0.0006979765021242201,1229,
39,0.0006668519927188754,1239,
39,,1239,0.004120741505175829
40,0.00046833284432068467,1249,
40,0.0013315366813912988,1259,
40,0.0005230036331340671,1269,
40,,1270,0.004179081879556179
41,0.00047813777928240597,1279,
41,0.0009180520428344607,1289,
41,0.000635384232737124,1299,
41,,1301,0.004009154159575701
42,0.0005687093362212181,1309,
42,0.0007205348811112344,1319,
42,0.0006540613248944283,1329,
42,,1332,0.004182521719485521
43,0.0009209917043335736,1339,
43,0.001007028273306787,1349,
43,0.002124725840985775,1359,
43,,1363,0.003900690469890833
44,0.0006926677306182683,1369,
44,0.0006022448651492596,1379,
44,0.0016667150193825364,1389,
44,,1394,0.004243525676429272
45,0.0005893411580473185,1399,
45,0.0007034738082438707,1409,
45,0.0007863715291023254,1419,
45,,1425,0.003735295496881008
46,0.0014233210822567344,1429,
46,0.0015589076792821288,1439,
46,0.00049702322576195,1449,
46,,1456,0.0043467371724545956
47,0.0009561977931298316,1459,
47,0.0007657100213691592,1469,
47,0.0009996952721849084,1479,
47,,1487,0.0035590538755059242
48,0.0007138787186704576,1489,
48,0.0012291989987716079,1499,
48,0.0009012070950120687,1509,
48,,1518,0.004458976909518242
49,0.0005790035938844085,1519,
49,0.0011493252823129296,1529,
49,0.0006923188921064138,1539,
49,0.0029559002723544836,1549,
49,,1549,0.00338644627481699
50,0.00046703102998435497,1559,
50,0.0011304952204227448,1569,
50,0.000485406955704093,1579,
50,,1580,0.004417384043335915
51,0.0005406785639934242,1589,
51,0.0008386168628931046,1599,
51,0.0005614330293610692,1609,
51,,1611,0.003393340390175581
52,0.000610009825322777,1619,
52,0.0006741356919519603,1629,
52,0.0005714134313166142,1639,
52,,1642,0.004129153210669756
53,0.0010449393885210156,1649,
53,0.0009738081134855747,1659,
53,0.0018568027298897505,1669,
53,,1673,0.0033257610630244017
54,0.000716731243301183,1679,
54,0.000528866657987237,1689,
54,0.001452243304811418,1699,
54,,1704,0.004100197926163673
55,0.0006138830212876201,1709,
55,0.0006995676085352898,1719,
55,0.0008057564846239984,1729,
55,,1735,0.003179659368470311
56,0.0012153548886999488,1739,
56,0.0013845732901245356,1749,
56,0.0004828022210858762,1759,
56,,1766,0.004277790430933237
57,0.0010078332852572203,1769,
57,0.000730331870727241,1779,
57,0.0009459393913857639,1789,
57,,1797,0.003131274366751313
58,0.0006570437690243125,1799,
58,0.00104146683588624,1809,
58,0.0007984635885804892,1819,
58,,1828,0.00406927103176713
59,0.0006815858068875968,1829,
59,0.0009837247198447585,1839,
59,0.0007371490937657654,1849,
59,0.0030559059232473373,1859,
59,,1859,0.0032733543775975704
60,0.000379201810574159,1869,
60,0.0010257494868710637,1879,
60,0.0004084884421899915,1889,
60,,1890,0.0035383834037929773
61,0.0005119640263728797,1899,
61,0.0007174824131652713,1909,
61,0.0005528937326744199,1919,
61,,1921,0.003457919927313924
62,0.0005062498385086656,1929,
62,0.0005306635866872966,1939,
62,0.00046516594011336565,1949,
62,,1952,0.0032200119458138943
63,0.0009033060632646084,1959,
63,0.0009125777869485319,1969,
63,0.0016590034356340766,1979,
63,,1983,0.0034610966686159372
64,0.0005402442766353488,1989,
64,0.0005031787441112101,1999,
64,0.0012521473690867424,2009,
64,,2014,0.0031727165915071964
65,0.0005056508234702051,2019,
65,0.0006879637367092073,2029,
65,0.0008004102855920792,2039,
65,,2045,0.0034076545853167772
66,0.0010848242091014981,2049,
66,0.0012371052289381623,2059,
66,0.0004815692373085767,2069,
66,,2076,0.0031468160450458527
67,0.0007856670417822897,2079,
67,0.0005595516413450241,2089,
67,0.0008799521019682288,2099,
67,,2107,0.0033507177140563726
68,0.0005119440611451864,2109,
68,0.0009230676223523915,2119,
68,0.000760891882237047,2129,
68,,2138,0.0031301318667829037
69,0.0005194501136429608,2139,
69,0.0008954458171501756,2149,
69,0.0006549786776304245,2159,
69,0.0008961870335042477,2169,
69,,2169,0.003276227507740259
70,0.00035768491216003895,2179,
70,0.0008869062294252217,2189,
70,0.00036136992275714874,2199,
70,,2200,0.0031476838048547506
71,0.0004467194085009396,2209,
71,0.0006719215889461339,2219,
71,0.000451769185019657,2229,
71,,2231,0.0031700569670647383
72,0.0005483890417963266,2239,
72,0.0005726524395868182,2249,
72,0.000445326732005924,2259,
72,,2262,0.0032596306409686804
73,0.0009605268714949489,2269,
73,0.0009188030380755663,2279,
73,0.001561983721330762,2289,
73,,2293,0.0029860397335141897
74,0.0005868287989869714,2299,
74,0.000591757008805871,2309,
74,0.0012955416459590197,2319,
74,,2324,0.0032543325796723366
75,0.0005905884318053722,2329,
75,0.0007110690930858254,2339,
75,0.0008057127124629915,2349,
75,,2355,0.002914742799475789
76,0.0013404712080955505,2359,
76,0.001226650201715529,2369,
76,0.0004948372952640057,2379,
76,,2386,0.0031667365692555904
77,0.0009096323628909886,2389,
77,0.0006146946689113975,2399,
77,0.0008798635681159794,2409,
77,,2417,0.002877838211134076
78,0.0007341182790696621,2419,
78,0.0009628155967220664,2429,
78,0.0007325798505917192,2439,
78,,2448,0.0030143384356051683
79,0.0008241273462772369,2449,
79,0.0009596492163836956,2459,
79,0.0006025020848028362,2469,
