Frames occluded,nose,left ear,right ear,left front paw,right front paw,left hind paw,right hind paw,tail tip,head center,tail base
10,3.2,3.36,1.74,1.65,1.91,2.09,3.54,2.27,2.34,2.98
20,3.95,4.04,1.84,1.76,1.82,1.97,3.71,2.31,2.2,2.88
30,4.39,4.44,2.21,2.19,2.02,2.45,5.67,2.65,2.64,3.98
